,expiration,strike,call_price,iv,bs_price,omega,y
0,0.1,0.65,0.35002,0.42559633360949245,0.0,0.01811322391818424,-0.4307829160924542
1,0.1,0.7,0.30009,0.40697177070842994,5.551115123125783e-17,0.01656260221535549,-0.35667494393873245
2,0.1,0.75,0.25031,0.38347989794853266,-5.551115123125783e-17,0.014705683213061703,-0.2876820724517809
3,0.1,0.8,0.201,0.36238101713456694,-5.551115123125783e-17,0.01313200015794833,-0.2231435513142097
4,0.1,0.85,0.15296,0.34356251367909885,8.326672684688674e-17,0.0118035200805501,-0.16251892949777494
5,0.1,0.9,0.10787,0.32690685971562405,2.7755575615628914e-17,0.01068680949291307,-0.10536051565782628
6,0.1,0.95,0.06853,0.3129668156109558,-1.3877787807814457e-17,0.0097948227673662,-0.05129329438755058
7,0.1,1.0,0.03805,0.3017236185192166,-2.7755575615628914e-17,0.009103714197232974,0.0
8,0.1,1.05,0.01804,0.29333362291648485,0.0,0.008604461433331052,0.04879016416943205
9,0.1,1.1,0.00727,0.28796088744773024,-5.724587470723463e-17,0.008292147269968436,0.09531017980432493
10,0.1,1.15,0.00253,0.285281247067052,-2.3418766925686896e-17,0.008138538992813237,0.13976194237515863
11,0.1,1.2,0.00079,0.28514636137088684,5.9631119486702744e-18,0.00813084474030564,0.1823215567939546
12,0.1,1.25,0.00023,0.28688790084623716,-2.439454888092385e-18,0.00823046676519604,0.22314355131420976
13,0.1,1.3,6e-05,0.28798626283175294,1.0232158002831948e-18,0.008293608757979949,0.26236426446749106
14,0.1,1.35,2e-05,0.29637644846061684,2.002385887309166e-18,0.008783899920212867,0.30010459245033816
15,0.15,0.65,0.35022,0.43346034822373053,0.0,0.02818318102233566,-0.4307829160924542
16,0.15,0.7,0.30054,0.40730769700206393,-5.551115123125783e-17,0.024884934005568765,-0.35667494393873245
17,0.15,0.75,0.25131,0.3845441049603584,5.551115123125783e-17,0.02218112529896447,-0.2876820724517809
18,0.15,0.8,0.20302,0.36334525508063736,-2.7755575615628914e-17,0.019802966158442015,-0.2231435513142097
19,0.15,0.85,0.15663,0.3443606480692422,5.551115123125783e-17,0.017787638390800272,-0.16251892949777494
20,0.15,0.9,0.11372,0.3278571359448846,4.163336342344337e-17,0.016123545238497378,-0.10536051565782628
21,0.15,0.95,0.07639,0.31384370132282013,-4.163336342344337e-17,0.014774680329001129,-0.05129329438755058
22,0.15,1.0,0.04672,0.30254887423708543,4.163336342344337e-17,0.013730373195319159,0.0
23,0.15,1.05,0.02577,0.2942171871318484,-4.163336342344337e-17,0.012984562980566567,0.04879016416943205
24,0.15,1.1,0.01284,0.2888007383603503,-1.0408340855860843e-17,0.012510879971622526,0.09531017980432493
25,0.15,1.15,0.00586,0.2860444109163213,3.209238430557093e-17,0.012273210752469793,0.13976194237515863
26,0.15,1.2,0.00252,0.285876274125535,-5.637851296924623e-18,0.012258786616184706,0.1823215567939546
27,0.15,1.25,0.00104,0.2873085451472662,-6.505213034913027e-19,0.012381930017195807,0.22314355131420976
28,0.15,1.3,0.00043,0.29075296789342997,5.041540102057596e-18,0.012680593250825687,0.26236426446749106
29,0.15,1.35,0.00017,0.29353231985895717,-5.204170427930421e-18,0.01292418342026717,0.30010459245033816
30,0.2,0.65,0.35072,0.43395021324930744,-5.551115123125783e-17,0.03766255751582388,-0.4307829160924542
31,0.2,0.7,0.30147,0.40858093230770764,0.0,0.033387675649087116,-0.35667494393873245
32,0.2,0.75,0.25293,0.3852994412333926,0.0,0.029691131882952915,-0.2876820724517809
33,0.2,0.8,0.2057,0.36434329267721294,0.0,0.02654920698377465,-0.2231435513142097
34,0.2,0.85,0.16071,0.3453704023464201,1.3877787807814457e-16,0.023856142963385618,-0.16251892949777494
35,0.2,0.9,0.11935,0.32880184443996413,-4.163336342344337e-17,0.021622130581424474,-0.10536051565782628
36,0.2,0.95,0.08328,0.31467695216703984,-9.71445146547012e-17,0.019804316845027495,-0.05129329438755058
37,0.2,1.0,0.05409,0.30340656642614566,-2.7755575615628914e-17,0.01841110891010063,0.0
38,0.2,1.05,0.03255,0.2950161931392177,2.0816681711721685e-17,0.01740691084287124,0.04879016416943205
39,0.2,1.1,0.01823,0.28958045046603864,7.979727989493313e-17,0.016771367458422774,0.09531017980432493
40,0.2,1.15,0.00963,0.286897816060794,-2.7755575615628914e-17,0.01646207137209064,0.13976194237515863
41,0.2,1.2,0.00489,0.28657782968542367,1.9081958235744878e-17,0.01642537049344154,0.1823215567939546
42,0.2,1.25,0.00244,0.28826986252843767,-1.6046192152785466e-17,0.016619902728432872,0.22314355131420976
43,0.2,1.3,0.00121,0.2911966369526701,-6.505213034913027e-19,0.016959096274509033,0.26236426446749106
44,0.2,1.35,0.00061,0.29544145051460646,4.662069341687669e-18,0.01745713013643493,0.30010459245033816
45,0.25,0.65,0.35157,0.43540937581738076,-5.551115123125783e-17,0.04739533113742028,-0.4307829160924542
46,0.25,0.7,0.30283,0.40991540277943495,-5.551115123125783e-17,0.042007659358956596,-0.35667494393873245
47,0.25,0.75,0.25502,0.38656820068524284,-1.1102230246251565e-16,0.03735874344525655,-0.2876820724517809
48,0.25,0.8,0.20874,0.36529957945550007,2.7755575615628914e-17,0.0333609456875913,-0.2231435513142097
49,0.25,0.85,0.1649,0.3463442489396915,5.551115123125783e-17,0.029988584693399753,-0.16251892949777494
50,0.25,0.9,0.12469,0.32967402979717786,-2.7755575615628914e-17,0.02717124148067763,-0.10536051565782628
51,0.25,0.95,0.08952,0.31560455352216527,4.163336342344337e-17,0.02490155855098132,-0.05129329438755058
